curve_id,age,volume,ps124,ps126,ps128,ps1210,p34,p36,p38,p310,p44,p46,p48,p410,pbark,pchips,psawdust,pshaving,ptrim
2421002,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2421002,20.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2421002,30.0,10,11,0,0,0,11,0,0,0,4,0,0,0,0.0,0.02,0.0,0.0,0.0
2421002,40.0,17,116,0,0,0,116,0,0,0,36,0,0,0,0.03,0.12,0.02,0.01,0.01
2421002,50.0,35,1757,2,0,0,1757,2,0,0,542,0,0,0,0.43,1.54,0.27,0.17,0.14
2421002,60.0,58,5520,113,0,0,5520,112,0,0,1688,23,0,0,1.34,4.68,0.85,0.54,0.39
2421002,70.0,84,9439,680,9,0,9434,679,9,0,2828,142,2,0,2.41,8.53,1.54,0.95,0.66
2421002,80.0,110,12421,2485,121,0,12380,2467,121,0,3593,512,25,0,3.53,12.42,2.3,1.38,0.96
2421002,90.0,133,14844,4313,511,16,14686,4176,490,16,4106,841,97,3,4.53,15.66,2.99,1.78,1.22
2421002,100.0,155,16840,5974,1128,45,16498,5630,1068,45,4433,1096,209,10,5.4,18.26,3.6,2.14,1.44
2421002,110.0,175,18101,7645,1967,146,17499,6958,1767,129,4592,1307,322,23,6.16,20.43,4.15,2.45,1.64
2421002,120.0,192,18922,9179,2819,272,18053,8122,2445,230,4670,1483,422,38,6.8,22.23,4.62,2.72,1.81
2421002,130.0,206,19547,10477,3556,384,18447,9096,3026,320,4721,1628,506,52,7.33,23.72,5.01,2.93,1.95
2421002,140.0,219,19926,11481,4241,589,18600,9794,3546,477,4727,1742,581,73,7.76,24.85,5.32,3.11,2.07
2421002,150.0,229,20185,12288,4843,807,18655,10330,3996,641,4716,1834,645,94,8.11,25.74,5.58,3.26,2.16
2421002,160.0,238,20364,12936,5347,1001,18663,10750,4369,786,4698,1907,698,113,8.39,26.44,5.78,3.37,2.24
2421002,170.0,246,20437,13422,5767,1187,18590,11045,4676,925,4665,1962,740,130,8.59,26.93,5.94,3.46,2.29
2421002,180.0,252,20497,13829,6119,1342,18529,11292,4932,1041,4637,2007,776,145,8.77,27.35,6.07,3.53,2.34
2421002,190.0,258,20548,14168,6412,1472,18478,11498,5147,1138,4614,2046,806,157,8.91,27.69,6.18,3.6,2.38
2421002,200.0,262,20569,14446,6655,1582,18420,11661,5322,1220,4592,2076,831,167,9.03,27.96,6.26,3.64,2.41
2421002,210.0,266,20390,14624,6830,1693,18220,11711,5434,1302,4542,2092,847,178,9.06,28.0,6.29,3.66,2.42
2421002,220.0,269,20241,14772,6977,1785,18053,11753,5528,1370,4501,2105,861,187,9.1,28.03,6.32,3.68,2.43
2421002,230.0,272,20116,14895,7099,1862,17914,11787,5606,1427,4466,2115,872,194,9.12,28.05,6.34,3.69,2.44
2421002,240.0,274,20012,14999,7201,1926,17798,11817,5671,1474,4437,2124,881,200,9.15,28.07,6.36,3.7,2.45
2421002,250.0,276,19925,15085,7286,1980,17702,11841,5726,1514,4413,2132,889,205,9.16,28.09,6.38,3.71,2.45
2421002,260.0,277,19853,15156,7357,2024,17621,11861,5771,1547,4393,2138,896,210,9.18,28.1,6.39,3.72,2.46
2421002,270.0,278,19792,15216,7417,2062,17554,11878,5809,1575,4377,2143,901,213,9.19,28.11,6.4,3.72,2.46
2421002,280.0,279,19742,15266,7466,2093,17497,11892,5841,1598,4363,2147,906,216,9.2,28.12,6.41,3.73,2.46
2421002,290.0,280,19700,15308,7507,2119,17451,11904,5867,1617,4351,2151,910,218,9.21,28.13,6.42,3.73,2.47
2421002,300.0,280,19700,15308,7507,2119,17451,11904,5867,1617,4351,2151,910,218,9.21,28.13,6.42,3.73,2.47
2421002,310.0,280,19700,15308,7507,2119,17451,11904,5867,1617,4351,2151,910,218,9.21,28.13,6.42,3.73,2.47
2421002,320.0,280,19700,15308,7507,2119,17451,11904,5867,1617,4351,2151,910,218,9.21,28.13,6.42,3.73,2.47
2421002,330.0,280,19700,15308,7507,2119,17451,11904,5867,1617,4351,2151,910,218,9.21,28.13,6.42,3.73,2.47
2421002,340.0,280,19700,15308,7507,2119,17451,11904,5867,1617,4351,2151,910,218,9.21,28.13,6.42,3.73,2.47
2421002,350.0,280,19700,15308,7507,2119,17451,11904,5867,1617,4351,2151,910,218,9.21,28.13,6.42,3.73,2.47
2421007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2421007,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2421007,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2421007,30.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2421007,40.0,14,98,0,0,0,99,0,0,0,31,0,0,0,0.03,0.16,0.02,0.01,0.01
2421007,50.0,37,1633,0,0,0,1634,0,0,0,502,0,0,0,0.44,2.07,0.31,0.16,0.16
2421007,60.0,68,5707,214,5,0,5698,206,5,0,1639,41,1,0,1.44,6.24,1.05,0.56,0.47
2421007,70.0,103,10309,1452,118,12,10199,1316,104,8,2619,247,18,1,2.71,11.14,1.99,1.08,0.83
2421007,80.0,140,14353,3381,698,84,13942,2764,544,59,3344,479,83,7,4.04,15.95,3.0,1.65,1.22
2421007,90.0,177,17354,5829,1836,336,16481,4241,1334,240,3907,731,193,31,5.32,20.26,4.01,2.21,1.6
2421007,100.0,211,19416,8456,3270,881,17932,5616,2293,609,4172,968,331,82,6.51,23.99,4.94,2.73,1.96
2421007,110.0,243,21281,10589,4648,1722,19001,6655,3174,1132,4416,1149,465,158,7.58,27.16,5.79,3.22,2.28
2421007,120.0,272,22420,12766,5883,2976,19352,7826,3927,1816,4527,1362,577,268,8.53,29.75,6.58,3.66,2.57
2421007,130.0,298,23021,14847,7013,4282,19444,8892,4533,2580,4539,1558,676,385,9.36,31.9,7.26,4.05,2.83
